         7110342 function calls (7007791 primitive calls) in 7.031 seconds

   Ordered by: cumulative time
   List reduced from 6289 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.001    7.022    7.022 /home/ted/dev/se_489_mlops_project/scripts/profile_training.py:36(_run_training)
      184    0.007    0.000    6.463    0.035 /usr/lib/python3.12/selectors.py:402(select)
   1444/5    0.025    0.000    5.149    1.030 <frozen importlib._bootstrap>:1349(_find_and_load)
   1404/5    0.009    0.000    5.148    1.030 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   3293/9    0.003    0.000    5.148    0.572 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1376/5    0.007    0.000    5.148    1.030 <frozen importlib._bootstrap>:911(_load_unlocked)
   1168/5    0.003    0.000    5.147    1.029 <frozen importlib._bootstrap_external>:989(exec_module)
   1494/5    0.043    0.000    5.147    1.029 {built-in method builtins.exec}
      204    0.002    0.000    4.887    0.024 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/joblib/parallel.py:1670(_get_outputs)
   692/46    0.001    0.000    4.362    0.095 {built-in method builtins.__import__}
      370    0.010    0.000    3.290    0.009 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/scalene/scalene_profiler.py:679(cpu_signal_handler)
  608/567    0.002    0.000    3.272    0.006 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/scalene/scalene_profiler.py:1096(should_trace)
  593/558    0.023    0.000    3.267    0.006 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/scalene/scalene_profiler.py:1147(_passes_exclusion_rules)
      369    0.060    0.000    3.189    0.009 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/scalene/scalene_utility.py:58(compute_frames_to_record)
        1    0.000    0.000    3.169    3.169 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/__init__.py:1(<module>)
        1    0.000    0.000    3.167    3.167 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/base.py:1(<module>)
        1    0.000    0.000    3.164    3.164 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/utils/__init__.py:1(<module>)
        1    0.000    0.000    3.157    3.157 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/utils/_chunking.py:1(<module>)
        1    0.000    0.000    3.122    3.122 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:1(<module>)
241149/225863    0.261    0.000    2.820    0.000 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/scalene/scalene_utility.py:327(wrapped)
        1    0.000    0.000    2.274    2.274 /home/ted/dev/se_489_mlops_project/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:1(<module>)
 1549/819    0.009    0.000    2.208    0.003 {method 'acquire' of '_thread.lock' objects}
       39    0.000    0.000    2.208    0.057 /usr/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
        5    0.000    0.000    2.208    0.442 /usr/lib/python3.12/threading.py:1115(join)
 1657/994    0.006    0.000    2.125    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
